iter	Passed	Remaining
0	117	117178
1	118	58977
2	118	39545
3	119	29834
4	120	24051
5	122	20218
6	123	17489
7	124	15408
8	127	13998
9	127	12670
10	128	11582
11	129	10671
12	130	9899
13	131	9237
14	131	8661
15	132	8155
16	133	7732
17	135	7366
18	135	7021
19	136	6703
20	137	6429
21	138	6170
22	139	5934
23	140	5709
24	141	5502
25	141	5311
26	142	5133
27	143	4969
28	143	4815
29	144	4678
30	145	4545
31	146	4421
32	146	4304
33	147	4194
34	149	4114
35	150	4021
36	151	3931
37	152	3850
38	153	3776
39	154	3697
40	154	3620
41	155	3546
42	156	3476
43	156	3408
44	157	3344
45	158	3282
46	158	3223
47	159	3166
48	160	3112
49	161	3060
50	161	3010
51	163	2974
52	165	2955
53	166	2925
54	168	2894
55	169	2853
56	169	2812
57	170	2772
58	171	2733
59	172	2696
60	172	2660
61	173	2625
62	174	2596
63	175	2563
64	175	2531
65	176	2500
66	177	2470
67	178	2445
68	179	2425
69	180	2398
70	181	2372
71	182	2352
72	183	2331
73	184	2307
74	185	2282
75	185	2258
76	186	2235
77	187	2212
78	187	2189
79	188	2168
80	189	2146
81	189	2126
82	190	2101
83	190	2081
84	191	2062
85	192	2043
86	194	2038
87	195	2021
88	195	2004
89	196	1989
90	197	1975
91	198	1959
92	199	1943
93	199	1927
94	200	1911
95	201	1895
96	202	1880
97	202	1865
98	203	1850
99	204	1836
100	204	1822
101	205	1808
102	206	1794
103	206	1781
104	208	1775
105	209	1767
106	210	1755
107	211	1743
108	212	1735
109	213	1725
110	214	1714
111	214	1703
112	215	1691
113	216	1680
114	216	1669
115	217	1658
116	218	1645
117	218	1635
118	219	1625
119	220	1615
120	220	1604
121	221	1593
122	222	1588
123	224	1588
124	225	1579
125	229	1592
126	230	1586
127	232	1581
128	233	1576
129	234	1571
130	235	1565
131	237	1560
132	239	1558
133	240	1556
134	241	1548
135	242	1541
136	244	1541
137	246	1538
138	247	1534
139	248	1526
140	249	1517
141	249	1507
142	250	1499
143	250	1491
144	251	1483
145	252	1475
146	253	1468
147	257	1479
148	259	1483
149	263	1492
150	265	1490
151	266	1488
152	268	1487
153	273	1503
154	275	1500
155	275	1493
156	276	1486
157	277	1480
158	278	1473
159	279	1466
160	280	1459
161	280	1452
162	281	1447
163	283	1443
164	283	1436
165	286	1438
166	291	1453
167	292	1447
168	293	1442
169	294	1435
170	294	1430
171	295	1423
172	296	1419
173	297	1413
174	299	1409
175	300	1406
176	302	1408
177	304	1404
178	304	1398
179	306	1394
180	307	1390
181	308	1385
182	309	1380
183	310	1374
184	310	1369
185	311	1363
186	312	1358
187	313	1354
188	316	1356
189	317	1352
190	318	1349
191	320	1348
192	321	1343
193	322	1337
194	322	1332
195	323	1327
196	324	1322
197	325	1317
198	326	1315
199	328	1315
200	333	1324
201	334	1320
202	335	1316
203	336	1311
204	336	1306
205	337	1301
206	339	1302
207	340	1297
208	341	1292
209	345	1300
210	346	1297
211	347	1292
212	348	1287
213	352	1295
214	355	1299
215	357	1296
216	363	1309
217	363	1305
218	364	1301
219	367	1304
220	368	1299
221	369	1294
222	370	1291
223	371	1286
224	372	1282
225	376	1289
226	379	1290
227	380	1287
228	383	1291
229	387	1296
230	392	1306
231	397	1315
232	398	1313
233	404	1323
234	408	1328
235	412	1334
236	413	1329
237	413	1325
238	414	1320
239	415	1315
240	416	1311
241	417	1306
242	417	1301
243	418	1296
244	419	1291
245	419	1287
246	422	1286
247	423	1285
248	424	1281
249	425	1277
250	426	1272
251	427	1268
252	428	1264
253	428	1259
254	429	1255
255	430	1251
256	431	1247
257	432	1242
258	432	1238
259	433	1234
260	436	1237
261	437	1233
262	438	1229
263	439	1225
264	441	1223
265	442	1220
266	443	1216
267	443	1212
268	445	1209
269	446	1206
270	447	1202
271	447	1198
272	448	1194
273	451	1196
274	452	1192
275	454	1191
276	455	1189
277	456	1185
278	457	1181
279	458	1178
280	459	1174
281	459	1170
282	460	1166
283	461	1163
284	462	1159
285	462	1155
286	463	1151
287	465	1150
288	466	1148
289	467	1145
290	468	1142
291	469	1139
292	470	1135
293	471	1131
294	473	1132
295	474	1128
296	475	1125
297	476	1121
298	476	1118
299	477	1114
300	479	1114
301	481	1112
302	482	1109
303	483	1105
304	483	1102
305	484	1098
306	485	1095
307	485	1091
308	486	1088
309	487	1084
310	487	1081
311	488	1077
312	489	1074
313	490	1070
314	490	1067
315	491	1063
316	493	1063
317	495	1063
318	498	1063
319	499	1061
320	500	1059
321	501	1056
322	502	1052
323	503	1049
324	504	1048
325	510	1054
326	512	1055
327	514	1053
328	516	1052
329	518	1052
330	520	1051
331	521	1049
332	524	1049
333	525	1047
334	554	1100
335	556	1099
336	557	1096
337	558	1094
338	560	1093
339	561	1090
340	562	1087
341	564	1085
342	565	1082
343	566	1079
344	567	1076
345	568	1074
346	569	1071
347	570	1069
348	571	1066
349	572	1063
350	574	1061
351	575	1059
352	576	1056
353	577	1053
354	578	1050
355	580	1049
356	580	1046
357	581	1043
358	582	1040
359	583	1037
360	585	1035
361	586	1033
362	587	1031
363	588	1028
364	590	1026
365	591	1024
366	592	1021
367	593	1018
368	594	1015
369	594	1012
